Monat,Jan,Feb,Mär,Apr,Mai,Jun Jul,Aug,Sep,,Okt,Nov,Dez
Baden-Württemberg,"0.00","0.00","0.10","4.11","0.00","0,60 0,66","1.56","0.15",,"0.01","0.00","0.00"
Bayern,"0.00","0.80","3.11","28.62","16.64","22,57 7,59","32.24","1.00",,"0.52","0.08","0.10"
Berlin,"0.00","0.00","0.00","0.00","0.09","0,05 0,10","0.00","0.05",,"0.00","0.50","0.00"
Brandenburg,"0.00","0.00","2.81","8.54","38.78","17,03 574,66 726,41 270,21",,,,"35.40","0.25","0.00"
Bremen,"0.00","0.00","0.00","0.00","0.00","0,00 0,00","0.00","0.00",,"0.00","0.00","0.00"
Hamburg,"0.00","0.00","0.00","0.00","0.00","0,00 0,00","0.00","0.00",,"0.00","0.00","0.00"
Hessen,"0.00","0.01","0.00","0.18","0.47","0,23 8,66","5.37","1.22",,"0.20","0.00","0.00"
Mecklenburg-Vorpommern,"0.00","0.00","0.00","1.30","0.46","1,80 5,85","18.94","0.88",,"0.60","0.00","0.05"
Niedersachsen,"0.00","0.00","0.00","1.75","7.78","1,13 5,32","4.16","11.02",,"0.01","0.01","0.00"
Nordrhein-Westfalen,"0.00","0.00","0.10","2.53","1.06","7,58 13,40","11.90","2.30",,"0.50","0.04","0.00"
Rheinland-Pfalz,"0.00","0.00","0.00","0.00","0.69","0,21 1,29","1.81","0.65",,"0.28","0.00","0.00"
Saarland,"0.00","0.00","0.00","0.00","0.00","0,00 0,00","0.00","0.00",,"0.00","0.00","0.00"
Sachsen,"0.02","0.30","0.35","1.15","3.24","2,27 4,60","75,39 217,40",,,"0.78","0.01","0.01"
Sachsen-Anhalt,"0.01","0.00","0.02","0.19","7.75","8,41 66,12","4.48","24.67",,"2.21","0.00","0.00"
Schleswig-Holstein,"0.00","0.00","0.00","0.00","0.00","0,50 0,60","0.01","0.00",,"0.00","0.00","0.00"
Thüringen,"0.00","0.00","0.00","0.02","0.06","0,09 5,97","5.00","0.05",,"0.05","0.00","0.00"
Früheres Bundesgebiet,"0.00","0.81","3.31","37.19","26.73","32,87 37,62","57.05","16.39",,"1.52","0.63","0.10"
Neue Länder,"0.03","0.30","3.18","11.20","50.29","29,60 657,20 830,22 513,21",,,,"39.04","0.26","0.06"
Deutschland,"0.03","1.11","6.49","48.39","77.02","62,47 694,82 887,27 529,60",,,,"40.56","0.89","0.16"
